%с	символ
%d	целое десятичное число
%i	целое десятичное число
%e	десятичное число в виде x.xx e+xx
%E	десятичное число в виде x.xx E+xx
%f	десятичное число с плавающей запятой xx.xxxx
%F	десятичное число с плавающей запятой xx.xxxx
%g	%f или %e, что короче
%G	%F или %E, что короче
%o	восьмеричное число
%s	строка символов
%u	беззнаковое десятичное число
%x	шестнадцатеричное число
%X	шестнадцатеричное число
%%	символ %
%p	указатель
%n	указатель
%[]	Сканирует множество символов

Кроме того, к командам формата могут быть применены модификаторы l и h.
%ld	печать long int
%hu	печать short unsigned
%Lf	печать long double

управляющие символы:
\b	BS, забой
\f	Новая страница, перевод страницы
\n	Новая строка, перевод строки
\r	Возврат каретки
\t	Горизонтальная табуляция
\v	Вертикальная табуляция
\"	Двойная кавычка
\'	Апостроф
\\	Обратная косая черта
\0	Нулевой символ, нулевой байт
\a	Сигнал
\N	Восьмеричная константа
\xN	Шестнадцатеричная константа
\?	Знак вопроса

